I will go.,जि वने त्यना ।
I am sad.,जिगु नुगः मछिन ।
I am at home.,जि छेँय् दु ।
I like to drink.,जितः त्वने मास्तिवल ।
I live in Kathmandu.,जि येँय् च्वंच्वना ।
I like to have a cup of tea.,जित छगू कप च्या त्वने मास्ति व: ।
he is my best friend.,व जिम्ह बांलाःम्ह पासा खः ।
I like to go to the cinema hall.,जितः सिनेमा हलय् वने य: ।
Name: DVD Name Mostar and can rename it.,नां : डीभीडी नां मोस्टर व वयागु नां हीके ज्यू ।
Your real life partner is your body.,छिगु बास्तविक जीवनया पासा धयागु हे छिगु शरिर ख: ।
That movie brought me tears in my eye.,व संकिपा स्वयाः जिगु मिखां ख्वबि हाल ।
I could not control laughing while watching the movie.,जिं प्याखं स्वस्वं न्हिले पिये मफुत ।
I could not control laughing while watching the movie.,संकिपा स्वस्वं जिं थःगु न्हिला दिके मफुत ।
"Console her, she is crying.","व ख्वयाच्वन, वैत ह्ययेकि ।"
My friend made me cry.,जिमि पासां जितः ख्वयेकल ।
I am wiping her tears.,जिं वयागु ख्वबि हुयाच्वना ।
Never let her cry.,वयात गुब्लें नं ख्वयेके मते ।
Why did you make her cry.?,वयात छिं छाय् ख्वयेका दियागु ?
Never let tears come to her eye.,वयात गुब्लें नं ख्वयेका दी मते ।
Never let tears come to her eye.,वयागु मिखाय् गुब्लें नं ख्वबि हायेके बी मते ।
It is tears of joy.,थ्व लसतां जाःगु ख्वबि ख: ।
My sister shed tears of joy when she heard the good news.,जिमि केहेँचं भिंगु बुखँ न्यनाः लसतां जाःगु ख्वबि हायेकल ।
My mother burst into tears after seeing me.,जिमि मां जितः खनेवं ख्वया दिल ।
My mother burst into tears after seeing me.,जित खनेवं जिमि मामं ख्वबि हायेका दिल ।
"If you like what you see, click here.",छिं छु खंकादिया छितः यल धाःसा थन तियादिसँ ।
"If you like what you see, click here.","छिं छुं स्वयादियाः छितः यलधाःसा, थन तियादिसँ ।"
One day I will shatter his arrogance.,छन्हु जिं वयागु अहंकार चकनाचुर याये तिनि ।
His arrogance has shattered.,वयागु अहंकार चकनाचुर जुल ।
I am joking.,जिं ख्याः यानाच्वना ।
I will meet you again.,जिं छितः हाकनं नाप लाये ।
The game has finished.,थ्व कासा क्वचाल ।
The game is finished.,कासा क्वचाल ।
The game has ended.,कासा क्वचाःगु जुल ।
The game is ended.,कासा क्वचाल ।
The game was over.,कासा क्वचाल ।
The game is over.,कासा क्वचाःगु ख: ।
The game is completed.,थ्व कासा पूवंक क्वचाल ।
The game is not playing today because of the Rain.,थौं वा वःगुलिं कासा मन्ह्यात ।
The game has been postponed today.,थौं कासा लिछ्यात ।
The library is open.,सफुकुथि चाःगु दु ।
The library is not open.,सफूकुथि चाःगु मदु ।
The library is not yet open.,सफूकुथिइ आः तक नं चाःगु मदु ।
